Product URL,Product name,brand,Mrp,Sales price,Discount percentage,Number of reviews,Star rating
https://www.amazon.com/PUMA-Better-Emerge-Running-Castlerock/dp/B097C3XP2J?psc=1,Puma Men's Better Foam Emerge Running Shoe,PUMA,0.0,66.31,0,96,4.3
https://www.amazon.com/Nike-Huarache-Fashion-Sneakers-Black/dp/B09J3K4N42?psc=1,Nike Mens Air Huarache Fashion Sneakers,Nike,0.0,155.0,0,86,4.0
https://www.amazon.com/adidas-Mens-Quadcube-Sneaker-Black/dp/B07S9N7SH9?psc=1,adidas Men's Quadcube Running Shoe,Adidas,0.0,50.31,0,121,4.1
https://www.amazon.com/PUMA-Retaliate-Running-Cherry-Tomato/dp/B097C6XFVB?psc=1,PUMA Men's Retaliate Block Running Shoe,PUMA,0.0,74.88,0,13,4.4
https://www.amazon.com/ASICS-Gel-Cumulus-Running-Monaco-French/dp/B0971HSHXT?psc=1,ASICS Men's Gel-Cumulus 23 MK Running Shoe,ASICS,120.0,89.95,25,10,4.7
https://www.amazon.com/adidas-Solar-Glide-Running-Signal/dp/B08S7QJ2K5?psc=1,adidas Men's Solar Glide 4 Running Shoe,Adidas,80.31,67.69,16,6,4.2
https://www.amazon.com/adidas-Tresc-Mens-Shoes-Color/dp/B08CXP7Y9J?psc=1,adidas Mens Tresc Run Sneakers Shoes Casual - Black,Adidas,0.0,49.95,0,13,4.2
https://www.amazon.com/adidas-Terrex-Agravic-Black-White/dp/B09KTWBRM8?psc=1,adidas Men's Terrex Agravic Pro Trail Running Shoe,Adidas,0.0,219.95,0,0,0.0
https://www.amazon.com/Nike-Rival-Track-nk907564-Numeric_10/dp/B09SSFQB4Y?psc=1,Nike Zoom Rival S 9 Track and Field Shoes nk907564 701,Nike,0.0,100.0,0,29,4.5
https://www.amazon.com/adidas-Performance-Powerblaze-Running-Collegiate/dp/B00HI7UDHS?psc=1,adidas Performance Men's Powerblaze M Running Shoe,Adidas,0.0,75.0,0,783,4.1
https://www.amazon.com/adidas-Solar-Glide-Shoes-Color/dp/B08FTG7D2B?psc=1,"adidas Mens Solar Glide St Running Sneakers Shoes - Beige,Black,Grey",Adidas,0.0,99.95,0,2,5.0
